Locus ID	Gene	Fold Change Expression (Burn vs. Succ.)	P	Fold Change  Expression (Chronic vs. Succ.)	P	KO	COG	COG Category
PA4964	parC	0.42	0.0012	0.22	0.000035	K02621	COG0188	DNA replication, recombination, and repair
PA4965	-	0.51	0.043	0.2	0.032	K06985	COG3577	General function prediction only
PA4966	-	0.33	0.0027	0.45	0.41	-	-	-
PA4967	parE	0.33	0.0001	0.46	0.09	K02622	COG0187	DNA replication, recombination, and repair
PA4968	-	0.45	0.022	0.35	0.15	K07000	COG3150	General function prediction only
PA4969	cpdA	1.14	0.88	0.93	0.92	K03651	COG1409	General function prediction only
PA4970	-	0.61	0.36	1.21	0.61	K09920	COG3151	Function unknown
PA4971	aspP	0.6	0.09	0.46	0.13	K01515	COG0494	DNA replication, recombination, and repair / General function prediction only
PA4972	-	0.89	0.75	0.63	0.85	-	-	-
PA4973	thiC	0.12	8.6E-12	0.25	0.00029	K03147	COG0422	Coenzyme metabolism
PA4974	-	0.48	0.013	0.17	0.000038	K12340	COG1538	Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion
PA4975	-	1.51	0.46	1.36	1	K00355	COG2249	General function prediction only
PA4976	aruH	2.3	0.14	3.68	0.31	K12252	COG0436	Amino acid transport and metabolism
PA4977	aruI	1.77	0.17	2.24	0.55	K12253	COG0028	acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase 
PA4978	-	2.45	0.13	3.43	0.53	-	COG1042	Energy production and conversion
PA4979	-	4.73	0.00063	6.4	0.031	K00257	COG1960	Lipid metabolism
PA4980	-	4.33	0.045	9.06	0.13	K15866	COG1024	Lipid metabolism
PA4981	-	14.18	1.2E-09	73.74	3.1E-27	K02205	COG0833	Amino acid transport and metabolism
PA4982	-	1.96	0.064	14.86	0.0017	-	COG0642	Signal transduction mechanisms
PA4983	-	1.04	0.81	1.29	0.62	-	COG0745	Signal transduction mechanisms / Transcription
PA4984	-	0.77	0.75	0.97	0.78	-	COG1309	Transcription
PA4985	-	1.08	0.8	2.27	0.7	K02055	COG0687	Amino acid transport and metabolism
PA4986	-	1.51	0.52	2.19	0.57	-	COG1902	Energy production and conversion
PA4987	-	0.71	0.81	0.7	0.95	-	COG1396	Transcription
PA4988	waaA	2.24	0.008	5.98	0.017	K02527	COG1519	Cell envelope biogenesis, outer membrane
PA4989	-	1.13	0.9	0.65	0.94	-	COG0583	Transcription
PA4990	-	6.53	0.25	2.61	0.77	K03297	COG2076	Inorganic ion transport and metabolism
PA4991	-	0.5	0.091	1.16	0.82	-	COG0578	Energy production and conversion
PA4992	-	0.22	0.0000015	0.17	0.0033	-	COG0667	Energy production and conversion
PA4993	-	1.03	0.92	0.51	0.6	-	-	-
PA4994	-	1.11	0.63	2.01	0.87	K00249	COG1960	Lipid metabolism
PA4995	-	0.35	0.0015	0.38	0.13	K00257	COG1960	Lipid metabolism
PA4996	rfaE	0.37	0.00053	0.26	0.000089	K03272	COG2870	Cell envelope biogenesis, outer membrane
PA4997	msbA	0.34	0.00014	0.39	0.0048	K11085	COG1132	Defense mechanisms
PA4998	-	0.51	0.046	0.24	0.045	-	-	-
PA4999	waaL	0.4	0.0022	0.22	0.0011	-	COG3307	Cell envelope biogenesis, outer membrane
PA5000	wapR	0.48	0.0074	0.27	0.00012	K12988	COG1215	Cell envelope biogenesis, outer membrane
PA5001	-	0.33	0.000089	0.12	2.3E-10	-	COG0438	Cell envelope biogenesis, outer membrane
PA5002	-	0.31	0.00008	0.16	0.000057	-	-	-
PA5003	-	0.24	0.00000037	0.15	0.00000047	-	-	-
PA5004	-	0.29	0.000024	0.24	0.00015	-	COG0438	Cell envelope biogenesis, outer membrane
PA5005	-	0.31	0.000028	0.17	0.000000063	K00612	COG2192	Posttranslational modification, protein turnover, chaperones
PA5006	-	0.38	0.00053	0.25	0.0023	-	-	-
PA5007	-	0.3	0.00029	0.25	0.012	-	-	-
PA5008	-	0.37	0.0018	0.3	0.022	-	-	-
PA5009	waaP	0.18	1.4E-09	0.15	0.00000066	K02848	-	-
PA5010	waaG	0.31	0.00023	0.38	0.11	K02844	COG0438	Cell envelope biogenesis, outer membrane
PA5011	waaC	0.32	0.00026	0.51	0.27	K02841	COG0859	Cell envelope biogenesis, outer membrane
PA5012	waaF	0.42	0.0011	0.32	0.0073	K02843	COG0859	Cell envelope biogenesis, outer membrane
PA5013	ilvE	0.42	0.0074	0.15	0.000019	K00826	COG0115	Amino acid transport and metabolism / Coenzyme metabolism
PA5014	glnE	0.55	0.029	0.35	0.0033	K00982	COG1391	Posttranslational modification, protein turnover, chaperones / Signal transduction mechanisms
PA5015	aceE	0.21	0.00000002	0.2	0.000000022	K00163	COG2609	Energy production and conversion
PA5016	aceF	0.14	9.6E-13	0.09	1.2E-16	K00627	COG0508	Energy production and conversion
PA5017	-	1.15	0.93	1.01	0.77	-	COG2200	Signal    transduction mechanisms
PA5018	msrA	0.6	0.27	0.75	0.47	K07304	COG0225	Posttranslational modification, protein turnover, chaperones
PA5019	-	1.45	0.49	0.82	1	K07115	COG2961	General function prediction only
PA5020	-	1.11	0.81	3.59	0.26	K00248	COG1960	Lipid metabolism
PA5021	-	0.64	0.17	0.82	1	K11105	COG3263	Inorganic ion transport and metabolism
PA5022	-	0.58	0.09	0.81	0.88	K05802	COG3264	Cell envelope biogenesis, outer membrane
PA5023	-	1.15	0.83	4.03	0.021	-	COG0397	Function unknown
PA5024	-	0.11	0.027	0.03	0.027	K07090	COG0730	General function prediction only
PA5025	metY	0.79	0.31	5.42	0.0001	K01740	COG2873	Amino acid transport and metabolism
PA5026	-	1.6	0.71	1.57	0.77	-	COG2050	Secondary metabolites biosynthesis,    transport, and catabolism
PA5027	-	3.03	0.14	1.77	0.46	-	COG0589	Signal transduction mechanisms
PA5028	-	1.17	0.88	0.5	0.26	K03496	COG1192	Cell division and chromosome partitioning
PA5029	-	3.41	0.1	0.52	0.4	-	COG0583	Transcription
PA5030	-	9.8	1.7E-13	5.8	0.00046	K08224	COG2814	Carbohydrate transport and metabolism
PA5031	-	1.71	0.5	8.58	0.15	-	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA5032	-	2.61	0.096	4.19	0.37	-	COG2207	Transcription
PA5033	-	5.96	0.008	4.64	0.13	-	-	-
PA5034	hemE	0.77	0.3	0.5	0.12	K01599	COG0407	Coenzyme metabolism
PA5035	gltD	0.12	1.3E-13	0.08	1.4E-14	K00266	COG0493	Amino acid transport and metabolism / General function prediction only
PA5036	gltB	0.19	7.6E-10	0.15	1.2E-11	K00265	COG0069	Amino acid transport and metabolism
PA5037	-	0.66	0.23	0.82	0.94	K03112	COG3267	Intracellular trafficking and secretion
PA5038	aroB	0.62	0.13	0.69	0.75	K01735	COG0337	Amino acid transport and metabolism
PA5039	aroK	1.74	0.13	0.66	0.36	K00891	COG0703	Amino acid transport and metabolism
PA5040	pilQ	2.02	0.058	0.65	0.29	K02666	COG4796	Intracellular trafficking and secretion
PA5041	pilP	1.29	0.67	0.32	0.022	K02665	COG3168	Cell motility and secretion / Intracellular trafficking and secretion
PA5042	pilO	3.54	0.000033	0.57	0.55	K02664	COG3167	Cell motility and secretion / Intracellular trafficking and secretion
PA5043	pilN	2.09	0.027	0.59	0.36	K02663	COG3166	Cell motility and secretion / Intracellular trafficking and secretion
PA5044	pilM	3.48	0.0000081	1.14	0.94	K02662	COG4972	Cell motility and secretion / Intracellular trafficking and secretion
PA5045	ponA	0.7	0.24	0.56	0.17	K05366	COG5009	Cell envelope biogenesis, outer membrane
PA5046	-	0.21	0.000000015	0.09	5.9E-16	K00029	COG0281	Energy production and conversion
PA5047	-	0.86	0.49	0.26	0.0015	-	COG4784	General function prediction only
PA5048	-	1.87	0.084	0.67	0.36	-	COG1525	DNA replication, recombination, and repair
PA5049	rpmE	0.27	0.0000014	0.13	4.8E-12	K02909	COG0254	Translation, ribosomal structure and biogenesis
PA5050	priA	1.33	0.25	21.58	2.6E-18	K04066	COG1198	DNA replication, recombination, and repair
PA5051	argS	0.98	0.88	0.55	0.36	K01887	COG0018	Translation, ribosomal structure and biogenesis
PA5052	-	1.15	0.54	1.21	0.72	-	COG3087	Cell division and chromosome partitioning
PA5053	hslV	0.85	0.78	1.67	0.28	K01419	COG5405	Posttranslational modification, protein turnover, chaperones
PA5054	hslU	0.67	0.36	2.36	0.025	K03667	COG1220	Posttranslational modification, protein turnover, chaperones
PA5055	-	0.78	0.47	1.32	0.83	-	COG3536	Function unknown
PA5056	-	1.53	0.5	1.37	0.55	K03821	COG3243	Lipid metabolism
PA5057	phaD	1.48	0.52	1.9	0.52	-	COG0596	General function prediction only
PA5058	-	3.56	0.28	2.39	0.54	K03821	COG3243	Lipid metabolism
PA5059	-	4.06	0.31	2.23	0.49	-	COG1309	Transcription
PA5060	phaF	2.44	0.0053	1.22	0.74	-	-	-
PA5061	-	2.48	0.021	1.13	0.86	-	-	-
PA5062	-	0.69	0.31	0.32	0.17	-	-	-
PA5063	ubiE	0.54	0.027	0.24	0.0014	K03183	COG2226	Coenzyme metabolism
PA5064	-	0.47	0.014	0.34	0.097	K03690	COG3165	Function unknown
PA5065	ubiB	0.51	0.032	0.39	0.047	K03688	COG0661	General function prediction only
PA5066	hisI	0.38	0.00012	0.13	9.3E-11	K01496	COG0139	Amino acid transport and metabolism
PA5067	hisE	0.34	0.00016	0.16	0.00004	K01523	COG0140	Amino acid transport and metabolism
PA5068	tatA	0.43	0.00044	0.12	5.5E-11	K03116	COG1826	Intracellular trafficking and secretion
PA5069	tatB	0.47	0.0085	0.23	0.0061	K03117	COG1826	Intracellular trafficking and secretion
PA5070	tatC	0.35	0.00064	0.23	0.00083	K03118	COG0805	Intracellular trafficking and secretion
PA5071	-	0.46	0.028	0.29	0.21	-	COG1385	Function unknown
PA5072	-	0.67	0.32	0.29	0.091	K03406	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA5073	-	0.69	0.43	0.41	0.45	-	-	-
PA5074	-	0.22	0.0000089	0.1	0.0028	K02028	COG1126	Amino acid transport and metabolism
PA5075	-	0.74	0.34	0.8	0.8	K02029	COG0765	Amino acid transport and metabolism
PA5076	-	0.23	0.00000039	0.11	0.000000025	K02030	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA5077	mdoH	0.56	0.03	0.67	0.66	K03669	COG2943	Cell envelope biogenesis, outer membrane
PA5078	-	0.69	0.2	0.44	0.021	K03670	COG3131	Inorganic ion transport and metabolism
PA5079	-	0.65	0.36	0.38	0.2	K07560	COG1490	Translation, ribosomal structure and biogenesis
PA5080	-	0.75	0.38	0.54	0.21	K01259	COG0596	General function prediction only
PA5081	-	1.55	0.44	5.19	0.16	-	COG1051	Nucleotide transport and metabolism
PA5082	-	0.5	0.11	1.04	0.77	K10001	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA5083	-	1.94	0.48	2.47	0.66	-	COG0251	Translation, ribosomal structure and biogenesis
PA5084	-	2.5	0.061	2.01	0.44	K00285	COG0665	Amino acid transport and metabolism
PA5085	-	0.99	0.95	3.51	0.25	-	COG0583	Transcription
PA5086	-	1.9	0.059	1.29	0.45	K07126	COG0790	General function prediction only
PA5087	-	2.15	0.036	1.3	0.68	K07126	COG0790	General function prediction only
PA5088	-	2.37	0.48	0.85	0.86	K07126	COG0790	General function prediction only
PA5089	-	3.63	0.00033	2.06	0.29	-	COG1502	Lipid metabolism
PA5090	-	3.31	0.00086	5.64	0.015	-	COG3501	Function unknown
PA5091	hutG	0.97	0.97	0.72	1	K01479	COG3741	Amino acid transport and metabolism
PA5092	hutI	1.38	0.79	1.88	0.54	K01468	COG1228	Secondary metabolites biosynthesis, transport, and catabolism
PA5093	-	1.16	0.73	1.21	1	K01745	COG2986	Amino acid transport and metabolism
PA5094	-	1.32	0.54	0.82	0.99	K02000	COG4175	Amino acid transport and metabolism
PA5095	-	1.25	0.75	1.55	0.66	K02001	COG4176	Amino acid transport and metabolism
PA5096	-	3.1	0.0078	3.3	0.42	K02002	COG2113	Amino acid transport and metabolism
PA5097	-	1.99	0.27	3.08	0.39	K11736	COG1113	Amino acid transport and metabolism
PA5098	hutH	3.34	0.047	8.65	0.056	K01745	COG2986	Amino acid transport and metabolism
PA5099	-	5.22	0.0022	3.21	0.53	K03457	COG1457	Nucleotide transport and metabolism
PA5100	hutU	8.16	6.1E-10	3.28	0.16	K01712	COG2987	Amino acid transport and metabolism
PA5101	-	0.74	0.49	0.77	0.72	-	COG3221	Inorganic ion transport and metabolism
PA5102	-	0.78	0.53	1.2	0.59	-	COG3239	Lipid metabolism
PA5103	-	1.16	0.93	0.59	0.68	K02002	COG2113	Amino acid transport and metabolism
PA5104	-	14.37	0.012	1.73	0.37	K09975	COG3758	Function unknown
PA5105	hutC	10.97	0.015	4.28	0.016	K05836	COG2188	Transcription
PA5106	-	70.73	2.6E-45	19.47	0.000028	K05603	COG0402	Nucleotide transport and metabolism / General function prediction only
PA5107	-	1.26	0.58	0.66	0.49	K03098	COG3040	Cell envelope biogenesis, outer membrane
PA5108	-	1.37	0.69	0.75	0.69	-	-	-
PA5109	-	0.5	0.021	0.35	0.18	-	COG3803	Function unknown
PA5110	-	0.39	0.00055	0.22	0.000033	K03841	COG0158	Carbohydrate transport and metabolism
PA5111	-	1.01	0.73	1.12	0.97	K01759	COG0346	Amino acid transport and metabolism
PA5112	estA	0.43	0.0023	0.16	0.0000017	K12686	COG3240	Lipid metabolism / General function prediction only
PA5113	-	1.11	0.82	3.53	0.26	-	-	-
PA5114	-	0.89	0.68	0.39	0.018	-	COG5373	Function unknown
PA5115	-	1.55	0.31	2.6	0.41	-	-	-
PA5116	-	2.82	0.1	3.36	0.37	-	COG0789	Transcription
PA5117	typA	0.33	0.000015	0.28	0.00012	K06207	COG1217	Signal transduction mechanisms
PA5118	thiI	0.28	0.000032	0.21	0.00014	K03151	COG0301	Coenzyme metabolism
PA5119	glnA	0.11	1.6E-13	0.04	2.1E-19	K01915	COG0174	Amino acid transport and metabolism
PA5120	-	0.26	0.038	0	0.13	-	-	-
PA5121	-	0.63	0.16	0.98	0.7	-	COG0668	Cell envelope biogenesis, outer membrane
PA5122	-	1.78	0.43	1.03	0.86	-	-	-
PA5123	-	0.71	0.88	1.24	0.79	-	-	-
PA5124	ntrB	0.15	0.011	0.13	0.04	K07708	COG3852	Signal transduction mechanisms
PA5125	ntrC	0.1	0.00015	0.04	0.000045	K07712	COG2204	Signal transduction mechanisms
PA5126	-	1.03	0.94	0.72	0.88	-	-	-
PA5127	-	0.35	0.0048	0.2	0.15	K03216	COG0219	Translation, ribosomal structure and biogenesis
PA5128	secB	0.38	0.00033	0.16	0.0000037	K03071	COG1952	Intracellular trafficking and secretion
PA5129	-	0.69	0.34	0.15	0.021	K03676	COG0695	Posttranslational modification, protein turnover, chaperones
PA5130	-	0.55	0.063	0.14	0.0013	-	COG0607	Inorganic ion transport and metabolism
PA5131	-	0.4	0.0025	0.51	0.095	K15633	COG0696	Carbohydrate transport and metabolism
PA5132	-	1.03	0.82	0.73	0.83	K07052	-	-
PA5133	-	0.38	0.0013	0.4	0.038	-	COG4942	Cell division and chromosome partitioning
PA5134	-	0.52	0.025	0.34	0.0039	K03797	COG0793	Cell envelope biogenesis, outer membrane
PA5135	-	3.8	0.000031	2.8	0.22	K09798	COG2861	Function unknown
PA5136	-	0.8	0.81	1.34	0.58	-	-	-
PA5137	-	0.21	0.000000027	0.07	0.0000003	K02030	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA5138	-	0.45	0.0045	0.23	0.0093	-	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA5139	-	1.03	0.91	0.46	0.088	K02030	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA5140	-	0.24	0.00000034	0.1	0.0000011	K02500	COG0107	Amino acid transport and metabolism
PA5141	hisA	0.2	9.5E-09	0.09	2.8E-09	K01814	COG0106	Amino acid transport and metabolism
PA5142	-	0.34	0.00043	0.26	0.0019	K02501	COG0118	Amino acid transport and metabolism
PA5143	hisB	0.51	0.029	0.18	0.0000028	K01693	COG0131	Amino acid transport and metabolism
PA5144	-	0.72	0.95	2.82	0.74	-	-	-
PA5145	-	0.93	0.97	4.03	0.61	-	COG0579	General function prediction only
PA5146	-	0.39	0.0011	0.29	0.0016	K07289	COG2982	Cell envelope biogenesis, outer membrane
PA5147	mutY	0.32	0.00086	0.38	0.085	K03575	COG1194	DNA replication, recombination, and repair
PA5148	-	0.35	0.00041	0.19	0.0005	-	COG2924	Function unknown
PA5149	-	0.63	0.62	1.46	0.89	-	COG0673	General function prediction only
PA5150	-	2.38	0.023	1.37	0.48	-	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA5151	-	0.81	0.68	0.59	0.67	-	COG2928	Function unknown
PA5152	-	0.42	0.0088	0.29	0.054	K02028	COG4598	Amino acid transport and metabolism
PA5153	-	0.23	0.00000015	0.11	0.00000058	K02030	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA5154	-	0.23	0.00016	0.9	1	K02029	COG4215	Amino acid transport and metabolism
PA5155	-	0.39	0.029	0.3	0.37	K02029	COG4160	Amino acid transport and metabolism
PA5156	-	0.37	0.032	0.46	0.63	-	-	-
PA5157	-	1.49	0.36	2.65	0.66	-	COG1846	Transcription
PA5158	-	0.69	0.58	1.42	0.68	-	COG1538	Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion
PA5159	-	2.7	0.043	20.9	1.3E-14	K03543	COG1566	Defense mechanisms
PA5160	-	1.15	0.5	7.95	0.000011	K03446	COG2814	Carbohydrate transport and metabolism
PA5161	rmlB	0.8	0.34	0.17	0.00000017	K01710	COG1088	Cell envelope biogenesis, outer membrane
PA5162	rmlD	0.48	0.0084	0.22	0.00047	K00067	COG1091	Cell envelope biogenesis, outer membrane
PA5163	rmlA	0.5	0.011	0.27	0.0021	K00973	COG1209	Cell envelope biogenesis, outer membrane
PA5164	rmlC	1.04	0.76	0.26	0.00078	K01790	COG1898	Cell envelope biogenesis, outer membrane
PA5165	-	0.79	0.38	0.5	0.34	K10125	COG4191	Signal transduction mechanisms
PA5166	-	0.54	0.075	0.45	0.35	K10126	COG2204	Signal transduction mechanisms
PA5167	-	0.09	3.6E-16	0.17	0.00000011	K11688	COG1638	Carbohydrate transport and metabolism
PA5168	-	0.13	1.4E-09	0.12	0.00014	K11689	COG3090	Carbohydrate transport and metabolism
PA5169	-	0.07	1.9E-18	0.06	8.1E-15	K11690	COG1593	Carbohydrate transport and metabolism
PA5170	arcD	3.22	0.000027	0.73	0.6	K03758	COG0531	Amino acid transport and metabolism
PA5171	arcA	10.18	2.9E-18	4.32	0.0025	K01478	COG2235	Amino acid transport and metabolism
PA5172	arcB	11.8	2.1E-11	5.18	0.0033	K00611	COG0078	Amino acid transport and metabolism
PA5173	arcC	4.05	0.00000094	1.38	0.67	K00926	COG0549	Amino acid transport and metabolism
PA5174	-	0.06	1.1E-22	0.05	7.7E-21	-	COG0304	Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA5175	cysQ	0.28	0.00029	0.33	0.055	K01082	COG1218	Inorganic ion transport and metabolism
PA5176	-	0.45	0.0087	0.26	0.019	K08312	COG0494	DNA replication, recombination, and repair / General function prediction only
PA5177	-	0.62	0.43	0.59	0.93	K07025	COG1011	General function prediction only
PA5178	-	1.94	0.1	1.17	0.95	-	COG1652	Function unknown
PA5179	-	0.94	0.69	0.94	1	-	COG0583	Transcription
PA5180	-	3.15	0.091	1.4	0.73	K02379	COG1526	Energy production and conversion
PA5181	-	1.41	0.48	3.02	0.24	-	COG0243	Energy production and conversion
PA5181.1	-	2.04	0.14	3.86	0.58	-	-	-
PA5182	-	1.45	0.4	5.69	0.07	-	-	-
PA5183	-	1.67	0.36	11.51	0.013	-	-	-
PA5184	-	0.58	0.22	0.77	1	K04093	COG1605	Amino acid transport and metabolism
PA5185	-	1.44	0.68	0.93	1	K07107	COG0824	General function prediction only
PA5186	-	3.03	0.011	6.75	0.017	-	COG1454	Energy production and conversion
PA5187	-	0.88	0.95	3.08	0.13	-	COG1960	Lipid metabolism
PA5188	-	0.74	0.68	1.15	1	-	COG1250	Lipid metabolism
PA5189	-	1.62	0.34	10.79	0.000057	-	COG0583	Transcription
PA5190	-	1.13	0.78	0.53	0.72	-	COG0778	Energy production and conversion
PA5191	-	0.82	0.44	0.32	0.04	-	-	-
PA5192	pckA	0.28	0.0000024	0.12	3.6E-10	K01610	COG1866	Energy production and conversion
PA5193	yrfI	0.27	0.0017	0.44	0.11	K04083	COG1281	Posttranslational modification, protein turnover, chaperones
PA5194	-	1.04	0.88	0.25	0.001	-	COG0671	Lipid metabolism
PA5195	-	0.46	0.086	0.31	0.34	K04762	COG1188	Translation, ribosomal structure and biogenesis
PA5196	-	1.39	0.29	0.23	0.41	-	COG4067	Posttranslational modification, protein turnover, chaperones
PA5197	rimK	0.96	0.93	0.72	1	K05844	COG0189	Coenzyme metabolism / Translation, ribosomal structure and biogenesis
PA5198	-	1.07	0.85	1.31	1	K01297	COG1619	Defense mechanisms
PA5199	amgS	0.77	0.64	0.46	0.16	K07638	COG0642	Signal transduction mechanisms
PA5200	amgR	1.29	0.44	0.74	0.66	K07659	COG0745	Signal transduction mechanisms / Transcription
PA5201	-	0.34	0.00045	0.35	0.0083	K06959	COG2183	Transcription
PA5202	-	0.28	0.000038	0.09	0.00000015	K02614	COG2050	Secondary metabolites biosynthesis,    transport, and catabolism
PA5203	gshA	0.73	0.23	0.3	0.0037	K01919	COG2918	Coenzyme metabolism
PA5204	argA	0.78	0.51	0.3	0.11	K14682	COG0548	Amino acid transport and metabolism
PA5205	-	1.38	0.81	1.5	0.97	K05595	COG2095	Intracellular trafficking and secretion
PA5206	argE	0.86	0.61	0.81	0.69	K01438	COG0624	Amino acid transport and metabolism
PA5207	-	0.48	0.31	0.28	0.23	K03306	COG0306	Inorganic ion transport and metabolism
PA5208	-	0.45	0.0034	0.21	0.0000041	K07220	COG1392	Inorganic ion transport and metabolism
PA5209	-	0.75	0.23	1.01	0.9	-	COG3025	Function unknown
PA5210	-	2.11	0.32	0.94	0.8	K02454	COG2804	Cell motility and secretion / Intracellular trafficking and secretion
PA5211	-	2.87	0.2	1.38	0.94	K07340	COG1585	Posttranslational modification, protein turnover, chaperones / Intracellular trafficking and secretion
PA5212	-	19.28	0.016	38.33	0.014	-	-	-
PA5213	-	3.34	0.03	1.61	0.44	K00281	COG1003	Amino acid transport and metabolism
PA5214	-	0.27	0.0044	0.17	0.0031	K02437	COG0509	Amino acid transport and metabolism
PA5215	-	0.33	0.000091	0.16	0.00000079	K00605	COG0404	Amino acid transport and metabolism
PA5216	-	0.6	0.37	0.47	0.4	K02011	COG1178	Inorganic ion transport and metabolism
PA5217	-	2.17	0.014	1.72	0.64	K02012	COG1840	Inorganic ion transport and metabolism
PA5218	-	0.59	0.3	0.36	0.53	-	COG0583	Transcription
PA5219	-	3.24	0.38	1.34	0.57	-	COG2814	Carbohydrate transport and metabolism
PA5220	-	1.14	0.89	0.77	0.95	-	-	-
PA5221	-	0.43	0.0063	0.31	0.071	-	COG0654	Coenzyme metabolism / Energy production and conversion
PA5222	-	0.72	0.23	0.24	0.084	-	-	-
PA5223	ubiH	0.91	0.55	0.87	0.83	K03185	COG0654	Coenzyme metabolism / Energy production and conversion
PA5224	pepP	0.42	0.0044	0.3	0.00025	K01262	COG0006	Amino acid transport and metabolism
PA5225	-	0.65	0.26	0.38	0.039	K09895	COG3079	Function unknown
PA5226	-	0.46	0.035	0.13	0.00071	-	-	-
PA5227	-	0.53	0.099	0.26	0.032	K09888	COG3027	Cell cycle control, cell division,    chromosome partitioning
PA5227.1	-	1.52	0.2	1.87	0.8	-	-	-
PA5228	-	0.52	0.09	0.41	0.17	K01934	COG0212	Coenzyme metabolism
PA5229	-	2.07	0.031	0.87	1	-	COG2947	Function unknown
